Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,15,6,746,8.3,5,1,5,0,0,1,0,0.60,0.12,0.72,0.60,0.72,4.1,4.1,0.9,5.0,0.49,0.11,0.60,0.49,0.60
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,11,0,188,2.1,1,0,1,0,0,1,0,0.48,0.00,0.48,0.48,0.48,1.7,1.7,0.1,1.8,0.82,0.06,0.88,0.82,0.88
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.22,0.00,0.22,0.22,0.22
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,4,0,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.11,0.11,0.00,0.11
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,21,11,1020,11.3,3,3,3,0,0,3,0,0.26,0.26,0.53,0.26,0.53,0.9,0.9,2.0,2.9,0.08,0.18,0.26,0.08,0.26
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,14,0,208,2.3,1,0,1,0,1,3,0,0.43,0.00,0.43,0.43,0.43,1.3,0.6,0.0,0.6,0.58,0.00,0.58,0.25,0.25
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,20,1805,20.1,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,0.3,0.3,1.9,2.3,0.02,0.10,0.11,0.02,0.11
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,23,2099,23.3,1,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.0,1.9,0.04,0.04,0.08,0.04,0.08
