Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,0,5,2,40.0,0.72,0.29,0.00,0.00,17.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,2,22,5,22.7,1.05,0.24,0.09,0.40,24.0,3,0,0,1.4,1.4,0.06,+0.6,+0.6
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,3,25,9,36.0,2.88,1.04,0.12,0.33,22.5,2,0,0,2.4,2.4,0.10,+0.6,+0.6
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,3,12,7,58.3,0.40,0.23,0.25,0.43,9.8,0,0,0,1.7,1.7,0.14,+1.3,+1.3
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1,19,1,5.3,0.88,0.05,0.05,1.00,22.9,3,0,0,0.8,0.8,0.04,+0.2,+0.2
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1,9,1,11.1,0.46,0.05,0.11,1.00,17.6,0,0,0,0.4,0.4,0.05,+0.6,+0.6
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,0,5,1,20.0,0.27,0.05,0.00,0.00,5.9,0,0,0,0.6,0.6,0.13,-0.6,-0.6
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,0,10,2,20.0,0.49,0.10,0.00,0.00,30.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,20.1,0,0,0,2.3,2.3,0.07,+0.7,+0.7
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,0,1,0,0.0,0.80,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,10,62,30,48.4,2.80,1.36,0.15,0.30,16.8,3,1,1,9.5,8.7,0.14,+0.5,+0.3
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,2,53,22,41.5,1.66,0.69,0.04,0.09,28.1,8,0,0,2.0,2.0,0.04,0.0,0.0
